	adjusted Student P	Student P	log2FC	Protein Group	Top	Accession	Significance	Coverage (%)	#Peptides	#Unique	PTM	ADRNOR_4H_1_1_2792 Area	ADRNOR_4H_1_2_2793 Area	ADRNOR_4H_2_1_2795 Area	ADRNOR_4H_2_2_2796 Area	ADRNOR_4H_3_1_2798 Area	ADRNOR_4H_3_2_2799 Area	ADR_4H_1_1_2772 Area	ADR_4H_1_2_2773 Area	ADR_4H_2_1_2775 Area	ADR_4H_2_2_2776 Area	ADR_4H_3_1_2778 Area	ADR_4H_3_2_2779 Area	CTRL_4H_1_1_2752 Area	CTRL_4H_1_2_2753 Area	CTRL_4H_2_1_2755 Area	CTRL_4H_2_2_2756 Area	CTRL_4H_3_1_2758 Area	CTRL_4H_3_2_2759 Area	NOR_4H_1_1_2781 Area	NOR_4H_1_2_2782 Area	NOR_4H_2_1_2786 Area	NOR_4H_2_2_2787 Area	NOR_4H_3_1_2789 Area	NOR_4H_3_2_2790 Area	TNF_4H_1_1_2761 Area	TNF_4H_1_2_2762 Area	TNF_4H_2_1_2764 Area	TNF_4H_2_2_2765 Area	TNF_4H_3_1+_2769 Area	TNF_4H_3_2_2770 Area	ADRNOR_24H_1_1_2931 Area	ADRNOR_24H_1_2_2932 Area	ADRNOR_24H_2_1_2934 Area	ADRNOR_24H_2_2_2935 Area	ADRNOR_24H_3_1_2937 Area	ADRNOR_24H_3_2_2938 Area	ADR_24H_1_1_2911 Area	ADR_24H_1_2_2912 Area	ADR_24H_2_1_2914 Area	ADR_24H_2_2_2915 Area	ADR_24H_3_1_2917 Area	ADR_24H_3_2_2918 Area	CTRL_24H_1_1_2840 Area	CTRL_24H_1_2_2841 Area	CTRL_24H_2_1_2843 Area	CTRL_24H_2_2_2844 Area	CTRL_24H_3_1_2846 Area	CTRL_24H_3_2_2847 Area	NOR_24H_1_1_2920 Area	NOR_24H_1_2_2921 Area	NOR_24H_2_1_2925 Area	NOR_24H_2_2_2926 Area	NOR_24H_3_1_2928 Area	NOR_24H_3_2_2929 Area	TNF_24H_1_1_2849 Area	TNF_24H_1_2_2850 Area	TNF_24H_2_1_2852 Area	TNF_24H_3_1_2908 Area	TNF_24H_3_2_2909 Area	POOL_3_2923 Area	221212_POOL_4_2940 Area	221207_POOL_4_2801 Area	221207_POOL_3_2784 Area	221207_POOL_2_2767 Area	221207_POOL_1_2750 Area	Sample Profile (Ratio)	ADRNOR_4H Area	ADR_4H Area	CTRL_4H Area	NOR_4H Area	TNF_4H Area	ADRNOR_24H Area	ADR_24H Area	CTRL_24H Area	NOR_24H Area	TNF_24H Area	POOL Area	Group Profile (Ratio)	Avg. Mass	Description
1125	0.003979123654758668	1.8628050146486253e-05	1.5887780785823988	3275	True	Q9UI09|NDUAC_HUMAN	92.14	71.72	9	9	Deamidation (NQ)	6811.9497	6644.222	12336.943	12344.536	10246.318	10790.455	8045.3506	7919.8013	5200.8296	5617.679	5828.6206	6181.9023	3270.1755	4016.0928	4248.1772	3735.3423	2871.8623	2910.842	8755.361	6545.6133	9856.641	9410.268	7451.6313	5558.45	5414.0317	5328.467	10083.332	5788.992	6162.1167	7573.1304	13234.288	13961.155	10057.109	10587.658	9211.655	6373.7954	6525.9326	7837.754	11450.824	9237.581	16168.834	16523.578	6964.4644	9076.19	9955.461	9933.27	12348.573	10449.606	6976.887	7478.6406	7562.7515	7756.1064	6723.9897	7744.395	9605.083	6151.353	12963.426	7138.073	9408.732	10678.958	10983.686	10075.452	8730.806	7885.302	15072.506	1.00:0.98:1.81:1.81:1.50:1.58:1.18:1.16:0.76:0.82:0.86:0.91:0.48:0.59:0.62:0.55:0.42:0.43:1.29:0.96:1.45:1.38:1.09:0.82:0.79:0.78:1.48:0.85:0.90:1.11:1.94:2.05:1.48:1.55:1.35:0.94:0.96:1.15:1.68:1.36:2.37:2.43:1.02:1.33:1.46:1.46:1.81:1.53:1.02:1.10:1.11:1.14:0.99:1.14:1.41:0.90:1.90:1.05:1.38:1.57:1.61:1.48:1.28:1.16:2.21	9862.404	6465.6973	3508.7485	7929.6606	6725.0117	10570.943	11610.53	9787.928	7373.795	9053.334	10571.118	1.00:0.66:0.36:0.80:0.68:1.07:1.18:0.99:0.75:0.92:1.07	17114	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Homo sapiens OX=9606 GN=NDUFA12 PE=1 SV=1
1168	0.04357628923941399	0.0015519911393197879	0.28304423602559936	365	True	O14974|MYPT1_HUMAN	11.41	36.8	36	36	Carbamidomethylation; Deamidation (NQ); Oxidation (M)	25537.656	25072.498	24167.203	24589.027	26171.414	23734.701	24592.402	24799.838	14309.546	14180.599	26808.94	27079.932	16231.279	15308.504	21619.447	20825.18	21105.035	19995.533	24407.066	25777.29	25587.592	25428.033	27454.682	29170.19	26776.031	27126.01	25588.404	26965.562	22556.129	23181.455	16732.805	17925.46	20040.484	18987.104	24133.191	24241.229	22097.148	22293.922	21185.87	22239.264	16238.752	17406.125	28000.877	16817.547	16865.684	16281.003	29323.766	29164.982	24045.94	22776.912	24012.797	21132.676	25329.781	23775.094	22703.723	22071.266	22464.72	21935.566	14733.533	13111.952	22260.973	27884.43	26751.879	26776.295	15391.314	1.00:0.98:0.95:0.96:1.02:0.93:0.96:0.97:0.56:0.56:1.05:1.06:0.64:0.60:0.85:0.82:0.83:0.78:0.96:1.01:1.00:1.00:1.08:1.14:1.05:1.06:1.00:1.06:0.88:0.91:0.66:0.70:0.78:0.74:0.95:0.95:0.87:0.87:0.83:0.87:0.64:0.68:1.10:0.66:0.66:0.64:1.15:1.14:0.94:0.89:0.94:0.83:0.99:0.93:0.89:0.86:0.88:0.86:0.58:0.51:0.87:1.09:1.05:1.05:0.60	24878.75	21961.877	19180.83	26304.143	25365.598	20343.379	20854.59	22742.309	23512.201	20781.762	22029.473	1.00:0.88:0.77:1.06:1.02:0.82:0.84:0.91:0.95:0.84:0.89	115281	Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1
1245	0.005086994016093053	3.092666155345785e-05	0.7816286686429361	3805	True	H0Y837|H0Y837_HUMAN	46.06	0.83	4	1		4803.3228	4747.5117	5747.201	5449.9575	5798.0503	4857.4985	2815.1938	3240.2434	4756.3574	3904.7678	5827.878	7074.9	3043.535	2308.0515	2942.517	3592.478	2738.2163	3539.019	4092.657	3997.1707	4423.6367	4402.6167	5953.3066	6082.0195	5004.7993	4948.63	5428.8667	5725.203	4400.331	3905.552	3873.4182	3156.3032	5104.946	6540.616	5125.712	4789.2524	3264.8164	3057.9656	3733.1082	2963.1296	137.14194	152.35028	5453.768	7827.1064	7357.7827	8262.677	6365.4165	6705.508	2597.1357	3098.241	3475.4146	3423.363	5190.8257	5013.2866	10003.443	9347.753	6745.0283	4906.072	4926.357	6677.3755	7104.54	5913.4653	5356.231	5443.801	5324.2397	1.00:0.99:1.20:1.13:1.21:1.01:0.59:0.67:0.99:0.81:1.21:1.47:0.63:0.48:0.61:0.75:0.57:0.74:0.85:0.83:0.92:0.92:1.24:1.27:1.04:1.03:1.13:1.19:0.92:0.81:0.81:0.66:1.06:1.36:1.07:1.00:0.68:0.64:0.78:0.62:0.03:0.03:1.14:1.63:1.53:1.72:1.33:1.40:0.54:0.65:0.72:0.71:1.08:1.04:2.08:1.95:1.40:1.02:1.03:1.39:1.48:1.23:1.12:1.13:1.11	5233.924	4603.2236	3027.3027	4825.2344	4902.2305	4765.0415	2218.0854	6995.3765	3799.7112	7185.7305	5969.942	1.00:0.88:0.58:0.92:0.94:0.91:0.42:1.34:0.73:1.37:1.14	94156	Nuclear pore complex protein Nup214 (Fragment) OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=1
1250	0.04052321962274103	0.0013092441983376464	0.621925050507123	4381	True	O95297|MPZL1_HUMAN	50.55	31.23	6	6	Carbamidomethylation; Deamidation (NQ)	9239.976	11941.681	13757.781	12333.237	17738.57	16524.49	10100.027	10347.399	14419.737	11666.698	9487.093	18412.273	8857.378	8426.455	7519.823	9563.905	8501.754	7932.373	12972.43	12271.494	11379.714	9796.46	8400.689	9485.394	14447.473	11456.295	10263.633	10418.691	12587.151	12833.061	12735.798	7355.9785	10928.274	8308.689	10992.044	11018.631	16909.398	16826.12	10925.992	11956.774	25432.404	25269.477	13792.123	13983.002	19308.146	21978.389	15401.365	15248.174	13100.824	13297.24	11838.093	11259.252	13450.274	13130.587	17524.133	15307.775	15636.072	13230.6875	13105.393	12460.722	11116.476	11421.628	8948.146	10039.815	21121.988	1.00:1.29:1.49:1.33:1.92:1.79:1.09:1.12:1.56:1.26:1.03:1.99:0.96:0.91:0.81:1.04:0.92:0.86:1.40:1.33:1.23:1.06:0.91:1.03:1.56:1.24:1.11:1.13:1.36:1.39:1.38:0.80:1.18:0.90:1.19:1.19:1.83:1.82:1.18:1.29:2.75:2.73:1.49:1.51:2.09:2.38:1.67:1.65:1.42:1.44:1.28:1.22:1.46:1.42:1.90:1.66:1.69:1.43:1.42:1.35:1.20:1.24:0.97:1.09:2.29	13589.289	12405.538	8466.948	10717.697	12001.051	10223.236	17886.693	16618.533	12679.379	14960.8125	12518.129	1.00:0.91:0.62:0.79:0.88:0.75:1.32:1.22:0.93:1.10:0.92	29082	Myelin protein zero-like protein 1 OS=Homo sapiens OX=9606 GN=MPZL1 PE=1 SV=1
1542	0.047837325020081096	0.0017679328975411925	0.3595404178208792	1695	True	Q96PY5|FMNL2_HUMAN	86.38	6.35	12	7	Carbamidomethylation	10007.181	10727.123	11175.159	12309.879	14097.635	14443.537	10250.273	9968.536	9686.558	9745.087	13833.012	13453.952	9354.593	8932.989	9662.754	9577.322	8901.237	8832.858	12495.901	13020.133	11730.418	11950.262	12503.861	12277.713	13056.891	13167.111	12274.994	12035.232	12330.84	11711.186	12450.288	12117.892	11507.899	12031.954	12636.957	12473.221	11153.391	10760.131	10683.739	10039.763	13147.891	12700.652	13561.012	13273.073	14108.568	15052.068	12961.037	13482.617	9547.352	9676.366	8986.501	9144.256	10805.904	10694.049	13250.461	13630.739	12600.935	13104.432	14418.295	11383.621	11573.95	13607.789	13331.969	11443.987	15857.763	1.00:1.07:1.12:1.23:1.41:1.44:1.02:1.00:0.97:0.97:1.38:1.34:0.93:0.89:0.97:0.96:0.89:0.88:1.25:1.30:1.17:1.19:1.25:1.23:1.30:1.32:1.23:1.20:1.23:1.17:1.24:1.21:1.15:1.20:1.26:1.25:1.11:1.08:1.07:1.00:1.31:1.27:1.36:1.33:1.41:1.50:1.30:1.35:0.95:0.97:0.90:0.91:1.08:1.07:1.32:1.36:1.26:1.31:1.44:1.14:1.16:1.36:1.33:1.14:1.58	12126.752	11156.236	9210.292	12329.715	12429.375	12203.035	11414.262	13739.729	9809.071	13400.973	12866.513	1.00:0.92:0.76:1.02:1.02:1.01:0.94:1.13:0.81:1.11:1.06	123321	Formin-like protein 2 OS=Homo sapiens OX=9606 GN=FMNL2 PE=1 SV=3
1596	0.015135732995695587	0.00018403705223183795	1.0347689078998048	2709	True	Q9BRK5|CAB45_HUMAN	113.92	29.01	9	9	Deamidation (NQ)	7544.2793	7689.9043	11900.664	10988.645	13852.396	13043.818	9091.331	5466.0654	7112.658	6595.7676	10806.072	9913.902	5993.107	5374.193	5146.1836	4965.035	5931.117	5796.0137	11304.216	9828.799	10187.7	6585.287	8529.953	8636.472	11288.169	12059.319	10141.225	6628.797	12381.648	10247.049	17564.225	14070.738	18434.25	7719.588	16420.115	19090.605	13418.802	13098.211	12657.785	11598.621	16421.85	13606.751	14936.78	16260.646	15419.955	17035.186	12573.018	11547.822	13334.6045	11787.869	11726.0	11606.673	17599.682	17433.857	16099.631	16868.002	15625.873	19092.867	20826.674	14859.42	10971.014	9682.696	9717.33	9354.075	13136.933	1.00:1.02:1.58:1.46:1.84:1.73:1.21:0.72:0.94:0.87:1.43:1.31:0.79:0.71:0.68:0.66:0.79:0.77:1.50:1.30:1.35:0.87:1.13:1.14:1.50:1.60:1.34:0.88:1.64:1.36:2.33:1.87:2.44:1.02:2.18:2.53:1.78:1.74:1.68:1.54:2.18:1.80:1.98:2.16:2.04:2.26:1.67:1.53:1.77:1.56:1.55:1.54:2.33:2.31:2.13:2.24:2.07:2.53:2.76:1.97:1.45:1.28:1.29:1.24:1.74	10836.617	8164.2993	5534.275	9178.738	10457.701	15549.92	13467.003	14628.901	13914.781	17702.61	11286.911	1.00:0.75:0.51:0.85:0.97:1.43:1.24:1.35:1.28:1.63:1.04	41807	45 kDa calcium-binding protein OS=Homo sapiens OX=9606 GN=SDF4 PE=1 SV=1
1625	0.0021816832976285353	8.71612225906832e-06	1.3722016482111847	1877	True	O60524|NEMF_HUMAN	51.2	11.8	11	11		9201.596	8811.041	11345.209	11154.201	14670.383	14247.494	12169.647	12887.893	3811.8877	3007.3477	14661.568	14542.325	3042.025	4747.669	4371.7407	5486.737	4318.433	4079.9426	16826.432	14562.307	10158.985	9926.9795	9156.785	8932.04	15021.32	15268.416	4574.349	13816.4375	16228.423	16278.3545	11152.782	11108.23	11365.48	10830.137	9353.443	10700.755	11179.227	10484.938	11648.828	11915.924	7643.724	8440.971	13460.664	12065.58	12129.713	12771.712	14546.783	13982.584	9964.922	8362.781	4799.203	5101.9395	9584.895	10610.171	9029.551	9974.727	11720.442	11411.722	10904.46	9564.782	11221.978	11456.386	13373.663	11430.437	15609.213	1.00:0.96:1.23:1.21:1.59:1.55:1.32:1.40:0.41:0.33:1.59:1.58:0.33:0.52:0.48:0.60:0.47:0.44:1.83:1.58:1.10:1.08:1.00:0.97:1.63:1.66:0.50:1.50:1.76:1.77:1.21:1.21:1.24:1.18:1.02:1.16:1.21:1.14:1.27:1.29:0.83:0.92:1.46:1.31:1.32:1.39:1.58:1.52:1.08:0.91:0.52:0.55:1.04:1.15:0.98:1.08:1.27:1.24:1.19:1.04:1.22:1.25:1.45:1.24:1.70	11571.654	10180.111	4341.0913	11593.922	13531.217	10751.805	10218.936	13159.506	8070.6523	10608.181	12109.41	1.00:0.88:0.38:1.00:1.17:0.93:0.88:1.14:0.70:0.92:1.05	122954	Nuclear export mediator factor NEMF OS=Homo sapiens OX=9606 GN=NEMF PE=1 SV=4
1632	0.02041893403808155	0.00030857169729253	1.1243239549338586	3824	True	O00635|TRI38_HUMAN	103.29	11.18	4	4	Carbamidomethylation	8165.9707	8016.9595	10158.442	9325.57	15819.581	16383.3955	9115.936	8862.439	4434.756	4175.2524	14217.765	12657.86	5083.753	5070.24	4529.535	2167.7317	4399.8022	3097.2373	11070.142	10328.974	10451.471	9153.261	10511.677	10532.716	12216.71	10945.174	10328.793	9963.77	16955.145	12712.806	13195.826	11863.156	11282.846	10638.697	11653.357	11583.875	10401.862	11351.258	11987.831	12831.341	13165.248	11983.084	12952.504	13660.954	12083.603	12308.102	13201.237	12813.332	10136.673	4064.5552	3919.1538	3928.1726	6453.286	6784.001	11651.329	9799.97	11960.57	13195.425	13054.417	12960.393	11824.346	10622.498	10243.6875	9373.451	16405.918	1.00:0.98:1.24:1.14:1.94:2.01:1.12:1.09:0.54:0.51:1.74:1.55:0.62:0.62:0.55:0.27:0.54:0.38:1.36:1.26:1.28:1.12:1.29:1.29:1.50:1.34:1.26:1.22:2.08:1.56:1.62:1.45:1.38:1.30:1.43:1.42:1.27:1.39:1.47:1.57:1.61:1.47:1.59:1.67:1.48:1.51:1.62:1.57:1.24:0.50:0.48:0.48:0.79:0.83:1.43:1.20:1.46:1.62:1.60:1.59:1.45:1.30:1.25:1.15:2.01	11311.653	8910.668	4058.05	10341.373	12187.066	11702.959	11953.4375	12836.622	5880.9736	11932.342	11905.049	1.00:0.79:0.36:0.91:1.08:1.03:1.06:1.13:0.52:1.05:1.05	53416	E3 ubiquitin-protein ligase TRIM38 OS=Homo sapiens OX=9606 GN=TRIM38 PE=1 SV=1
1655	0.027646900145001364	0.0004994402666458471	0.7515627081060678	4798	True	P19823|ITIH2_HUMAN	200.0	5.5	5	5		5275.6006	5176.4126	5398.5996	5690.5635	7707.7656	7723.1963	5111.216	4928.128	3310.0276	3939.9163	5732.89	6924.932	3022.4712	2958.0745	3584.9272	2835.3997	4472.1904	4249.9756	5932.75	5551.3066	6019.4023	6187.8823	4920.407	3412.8477	5759.7534	5951.0376	5203.9224	4475.61	7274.6606	7106.3994	23249.547	23083.12	17797.656	17809.895	15184.551	14382.969	17624.006	17574.277	15123.762	15441.713	17682.85	20750.227	14255.751	15359.395	15613.362	17019.928	15645.796	14406.489	11395.782	11735.919	7816.6973	7680.5415	11749.596	11879.892	13217.61	16529.736	11474.929	12224.715	11629.944	13266.265	13690.035	5379.7554	5970.9917	4892.901	7160.455	1.00:0.98:1.02:1.08:1.46:1.46:0.97:0.93:0.63:0.75:1.09:1.31:0.57:0.56:0.68:0.54:0.85:0.81:1.12:1.05:1.14:1.17:0.93:0.65:1.09:1.13:0.99:0.85:1.38:1.35:4.41:4.38:3.37:3.38:2.88:2.73:3.34:3.33:2.87:2.93:3.35:3.93:2.70:2.91:2.96:3.23:2.97:2.73:2.16:2.22:1.48:1.46:2.23:2.25:2.51:3.13:2.18:2.32:2.20:2.51:2.59:1.02:1.13:0.93:1.36	6162.023	4991.185	3520.5063	5337.4326	5961.8975	18584.623	17366.139	15383.453	10376.404	13015.387	8393.4	1.00:0.81:0.57:0.87:0.97:3.02:2.82:2.50:1.68:2.11:1.36	106463	Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2
1793	0.014337410589057492	0.0001633959477571742	0.2831923991111118	3326	True	O60885|BRD4_HUMAN	27.22	6.09	7	6	Deamidation (NQ)	12760.845	12394.588	13313.802	12851.14	12328.844	13039.17	12595.4	12038.48	13848.224	13885.867	12457.28	11892.917	9680.275	10449.8545	10597.351	10192.8545	11073.588	11911.945	14160.629	13743.309	14544.56	14013.054	13784.942	13943.988	12807.4	12075.651	10782.851	11738.392	10894.067	9795.214	6069.617	5948.581	7303.834	7536.21	12124.202	12108.944	12187.27	11931.307	10801.418	10001.424	5170.461	5159.6914	13052.136	12555.072	7934.1216	9300.294	11536.703	11741.051	12535.91	12629.941	13261.328	12428.454	11075.9795	12068.095	7888.8677	6162.802	10781.492	12696.193	10832.002	8214.555	9737.356	15202.996	13132.171	12245.14	4700.7573	1.00:0.97:1.04:1.01:0.97:1.02:0.99:0.94:1.09:1.09:0.98:0.93:0.76:0.82:0.83:0.80:0.87:0.93:1.11:1.08:1.14:1.10:1.08:1.09:1.00:0.95:0.84:0.92:0.85:0.77:0.48:0.47:0.57:0.59:0.95:0.95:0.96:0.93:0.85:0.78:0.41:0.40:1.02:0.98:0.62:0.73:0.90:0.92:0.98:0.99:1.04:0.97:0.87:0.95:0.62:0.48:0.84:0.99:0.85:0.64:0.76:1.19:1.03:0.96:0.37	12781.398	12786.361	10650.979	14031.747	11348.93	8515.231	9208.595	11019.8955	12333.285	9672.271	10538.829	1.00:1.00:0.83:1.10:0.89:0.67:0.72:0.86:0.96:0.76:0.82	152219	Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2
1802	0.00036482988358246067	5.494069215485289e-07	1.9649712076383654	3488	True	P15259|PGAM2_HUMAN	39.63	2.77	6	1		1874.3013	1810.1531	1441.0975	1899.8175	1514.2943	1494.3461	1442.997	887.63214	760.29126	1282.7622	519.5732	608.7824	291.77072	424.32895	422.34717	400.60745	481.44177	659.1848	1606.6088	1584.5864	787.19684	1797.941	1331.8015	1156.3088	1471.0947	1346.3896	738.86975	1637.8322	622.6779	696.1032	2229.622	2384.511	2273.3333	1609.8248	2044.4474	1914.7666	2771.9233	2635.1343	2327.7788	2195.418	411.03442	668.6704	460.54584	1713.6456	450.56305	395.73203	1926.937	1725.0424	3287.4229	2848.957	2402.4097	2037.2267	1449.8032	1522.2517	513.5927	111.79073	1267.4191	973.1788	1044.617	1803.5083	1702.8627	1475.0339	636.56104	359.95102	162.45647	1.00:0.97:0.77:1.01:0.81:0.80:0.77:0.47:0.41:0.68:0.28:0.32:0.16:0.23:0.23:0.21:0.26:0.35:0.86:0.85:0.42:0.96:0.71:0.62:0.78:0.72:0.39:0.87:0.33:0.37:1.19:1.27:1.21:0.86:1.09:1.02:1.48:1.41:1.24:1.17:0.22:0.36:0.25:0.91:0.24:0.21:1.03:0.92:1.75:1.52:1.28:1.09:0.77:0.81:0.27:0.06:0.68:0.52:0.56:0.96:0.91:0.79:0.34:0.19:0.09	1672.335	917.00635	446.61346	1377.4072	1085.4946	2076.0842	1834.9932	1112.0776	2258.012	782.1196	1023.39557	1.00:0.55:0.27:0.82:0.65:1.24:1.10:0.66:1.35:0.47:0.61	28766	Phosphoglycerate mutase 2 OS=Homo sapiens OX=9606 GN=PGAM2 PE=1 SV=3
1949	0.004639421158900101	2.7399742817891856e-05	0.6372298320539649	3436	True	Q8IUE6|H2A2B_HUMAN	64.16	5.38	5	1		16028.209	16464.094	17134.625	18350.049	16747.121	17546.14	13464.291	14228.654	16911.977	16852.516	15817.258	15339.8955	10505.568	9968.231	11143.78	10643.958	13417.918	13271.493	14645.023	13368.664	14550.205	14805.506	15080.577	17115.047	13873.28	14222.563	15241.201	14275.784	14927.567	17035.6	13168.692	13273.643	10528.804	10229.676	9682.443	9834.392	10018.015	8714.537	10193.761	10399.738	0.0	0.0	16970.281	17275.072	16478.191	16119.378	15252.079	15721.665	8761.5205	9403.503	8459.789	8360.039	7310.3257	8119.472	2334.4575	15562.254	13179.67	7839.228	7655.9688	11668.792	9959.043	14533.369	15226.866	14791.363	22313.451	1.00:1.03:1.07:1.14:1.04:1.09:0.84:0.89:1.06:1.05:0.99:0.96:0.66:0.62:0.70:0.66:0.84:0.83:0.91:0.83:0.91:0.92:0.94:1.07:0.87:0.89:0.95:0.89:0.93:1.06:0.82:0.83:0.66:0.64:0.60:0.61:0.63:0.54:0.64:0.65:0.00:0.00:1.06:1.08:1.03:1.01:0.95:0.98:0.55:0.59:0.53:0.52:0.46:0.51:0.15:0.97:0.82:0.49:0.48:0.73:0.62:0.91:0.95:0.92:1.39	17045.04	15435.766	11491.825	14927.504	14929.333	11119.608	9831.513	16302.777	8402.441	9314.315	14748.814	1.00:0.91:0.67:0.88:0.88:0.65:0.58:0.96:0.49:0.55:0.87	13995	Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3
1997	0.00036482988358246067	5.703437471325596e-07	0.5023435027237344	5669	True	Q9UBN6|TR10D_HUMAN	20.74	3.11	1	1	Carbamidomethylation	1651.8442	1764.5941	1708.7974	1768.7983	1821.0945	1963.0366	1772.3363	1762.9458	1595.1288	1709.1779	1708.4807	1612.553	1125.4255	1124.8994	1247.4197	1246.6798	1247.1609	1293.1458	1519.0431	1458.9841	1545.3395	1534.9037	1541.0325	1636.7706	1618.5056	1542.8741	1724.0164	1692.2682	1679.105	1496.7477	1230.572	1291.3798	1284.2628	1041.2942	1310.3442	1025.4486	1256.8251	1227.589	1037.4244	1924.9526	4226.6562	4867.7695	1438.6484	1044.2802	2143.9358	1190.9241	1146.2474	2345.5806	1026.5403	943.4517	1727.9401	1819.8234	1262.1917	1187.4192	1834.0558	1761.4087	2237.9285	1997.7904	2013.0415	1582.4962	1061.255	1645.6228	1599.5797	1599.6514	2207.4265	1.00:1.07:1.03:1.07:1.10:1.19:1.07:1.07:0.97:1.03:1.03:0.98:0.68:0.68:0.76:0.75:0.76:0.78:0.92:0.88:0.94:0.93:0.93:0.99:0.98:0.93:1.04:1.02:1.02:0.91:0.74:0.78:0.78:0.63:0.79:0.62:0.76:0.74:0.63:1.17:2.56:2.95:0.87:0.63:1.30:0.72:0.69:1.42:0.62:0.57:1.05:1.10:0.76:0.72:1.11:1.07:1.35:1.21:1.22:0.96:0.64:1.00:0.97:0.97:1.34	1779.6942	1693.437	1214.1218	1539.3456	1625.5862	1197.2169	2423.5361	1551.6028	1327.8944	1968.845	1616.0052	1.00:0.95:0.68:0.86:0.91:0.67:1.36:0.87:0.75:1.11:0.91	41823	Tumor necrosis factor receptor superfamily member 10D OS=Homo sapiens OX=9606 GN=TNFRSF10D PE=1 SV=1
2014	0.01421597710931287	0.00015309893708136149	0.2416746587075007	5918	True	F6U236|F6U236_HUMAN	33.5	2.24	1	1		22044.383	21695.646	21824.852	21814.17	24378.46	24052.438	20090.678	19682.91	20941.979	21491.734	23848.775	24428.52	18393.604	16297.321	20038.89	18835.9	18087.52	18709.947	22531.65	21962.89	20299.31	20922.877	23243.117	23337.41	23144.344	22400.174	21896.53	21207.672	21431.887	21509.963	21108.205	21241.088	20793.68	20387.896	23654.059	25320.88	22062.236	21540.213	19521.867	20137.11	8507.195	17297.059	25356.25	25307.078	27732.0	28258.686	23458.17	23839.82	20654.69	19691.947	18684.44	19032.492	22358.06	24591.24	27907.168	27428.756	26011.246	21924.951	22310.977	21740.299	22557.36	24176.846	22380.594	22353.002	16070.981	1.00:0.98:0.99:0.99:1.11:1.09:0.91:0.89:0.95:0.97:1.08:1.11:0.83:0.74:0.91:0.85:0.82:0.85:1.02:1.00:0.92:0.95:1.05:1.06:1.05:1.02:0.99:0.96:0.97:0.98:0.96:0.96:0.94:0.92:1.07:1.15:1.00:0.98:0.89:0.91:0.39:0.78:1.15:1.15:1.26:1.28:1.06:1.08:0.94:0.89:0.85:0.86:1.01:1.12:1.27:1.24:1.18:0.99:1.01:0.99:1.02:1.10:1.02:1.01:0.73	22634.992	21747.434	18393.863	22049.543	21931.762	22084.3	18177.613	25658.668	20835.479	25116.62	21546.514	1.00:0.96:0.81:0.97:0.97:0.98:0.80:1.13:0.92:1.11:0.95	46146	Protein kinase C and casein kinase substrate in neurons protein 1 OS=Homo sapiens OX=9606 GN=PACSIN1 PE=1 SV=1
2074	0.014310123470635164	0.0001590842282648342	0.6379994137971163	270	True	O75116|ROCK2_HUMAN	79.52	23.78	35	28	Carbamidomethylation; Deamidation (NQ)	27612.582	24608.695	36166.574	34202.312	29172.375	29605.7	31088.35	25051.543	18944.781	18108.816	38392.234	25147.135	22684.408	20600.97	15470.518	18855.953	16971.156	18913.342	26457.332	26211.072	31684.59	31883.004	25163.795	24293.098	35369.867	35961.13	37083.445	39100.13	36259.633	35999.336	27795.637	26215.467	20207.672	19777.41	24549.438	25428.078	21761.695	23046.885	20310.605	20866.648	16434.209	16859.242	34271.688	31316.867	36796.08	39556.1	28975.68	33909.094	25322.596	23170.666	20548.783	20484.24	15073.73	15939.288	42440.113	41940.742	38849.9	24426.107	25557.668	20257.377	19759.596	31544.426	29750.617	28589.398	43678.293	1.00:0.89:1.31:1.24:1.06:1.07:1.13:0.91:0.69:0.66:1.39:0.91:0.82:0.75:0.56:0.68:0.61:0.68:0.96:0.95:1.15:1.15:0.91:0.88:1.28:1.30:1.34:1.42:1.31:1.30:1.01:0.95:0.73:0.72:0.89:0.92:0.79:0.83:0.74:0.76:0.60:0.61:1.24:1.13:1.33:1.43:1.05:1.23:0.92:0.84:0.74:0.74:0.55:0.58:1.54:1.52:1.41:0.88:0.93:0.73:0.72:1.14:1.08:1.04:1.58	30228.041	26122.143	18916.059	27615.482	36628.92	23995.617	19879.88	34137.586	20089.885	34642.906	28929.951	1.00:0.86:0.63:0.91:1.21:0.79:0.66:1.13:0.66:1.15:0.96	160900	Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=4
